"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISBANK","EQ","27-Jul-2020","        445.60","        447.00","        448.00","        429.90","        431.90","        431.55","        434.54","   21924614","          9527124710.70","     239539","    5904126","         26.93"
"AXISBANK","EQ","28-Jul-2020","        431.55","        434.00","        440.00","        424.40","        436.15","        437.05","        432.90","   33057789","         14310567977.10","     270487","    6987902","         21.14"
"AXISBANK","EQ","29-Jul-2020","        437.05","        435.75","        447.00","        434.30","        441.50","        440.90","        442.06","   24404909","         10788499451.45","     200484","    3628091","         14.87"
"AXISBANK","EQ","30-Jul-2020","        440.90","        441.90","        445.90","        424.75","        427.00","        425.85","        434.47","   26862223","         11670884882.20","     242199","    5952121","         22.16"
"AXISBANK","EQ","31-Jul-2020","        425.85","        429.00","        434.45","        421.30","        432.90","        431.65","        428.84","   27499643","         11792993542.65","     231122","    4717737","         17.16"
"AXISBANK","EQ","03-Aug-2020","        431.65","        431.60","        431.90","        415.70","        419.00","        417.35","        421.43","   23824147","         10040313527.60","     238750","    5354800","         22.48"
"AXISBANK","EQ","04-Aug-2020","        417.35","        421.85","        431.20","        417.35","        429.00","        429.15","        423.84","   24748403","         10489411276.45","     208124","    3755993","         15.18"
"AXISBANK","EQ","05-Aug-2020","        429.15","        439.00","        446.85","        433.15","        434.20","        434.95","        440.15","   36936666","         16257772752.60","     301181","    6256624","         16.94"
"AXISBANK","EQ","06-Aug-2020","        434.95","        436.00","        438.30","        427.10","        433.00","        433.00","        432.71","   33465332","         14480835605.90","     271115","    8891863","         26.57"
"AXISBANK","EQ","07-Aug-2020","        433.00","        431.45","        437.00","        427.15","        433.20","        433.30","        433.75","   15570556","          6753782143.05","     132147","    3114356","         20.00"
"AXISBANK","EQ","10-Aug-2020","        433.30","        434.00","        437.00","        429.30","        431.80","        431.10","        433.65","   14888275","          6456281968.90","     131635","    3408596","         22.89"
"AXISBANK","EQ","11-Aug-2020","        431.10","        435.30","        449.90","        435.30","        448.00","        448.00","        443.60","   30469680","         13516501106.60","     257119","    7923757","         26.01"
"AXISBANK","EQ","12-Aug-2020","        448.00","        444.80","        452.75","        438.95","        450.00","        451.10","        447.74","   23184443","         10380629913.40","     209665","    5002474","         21.58"
"AXISBANK","EQ","13-Aug-2020","        451.10","        454.10","        456.75","        445.35","        450.00","        448.10","        450.43","   21885898","          9858147484.20","     176927","    7190903","         32.86"
"AXISBANK","EQ","14-Aug-2020","        448.10","        451.50","        451.50","        425.60","        436.30","        435.85","        437.21","   36726464","         16057299564.00","     251696","   16436112","         44.75"
"AXISBANK","EQ","17-Aug-2020","        435.85","        439.10","        441.00","        425.35","        440.80","        438.15","        432.73","   30198451","         13067861571.05","     226849","   11796596","         39.06"
"AXISBANK","EQ","18-Aug-2020","        438.15","        439.50","        447.25","        435.30","        444.65","        445.80","        441.32","   21768573","          9606999178.05","     193277","    6174654","         28.36"
"AXISBANK","EQ","19-Aug-2020","        445.80","        446.00","        451.95","        442.45","        444.65","        444.20","        447.79","   18133177","          8119892876.85","     135566","    5651063","         31.16"
"AXISBANK","EQ","20-Aug-2020","        444.20","        437.90","        441.30","        433.25","        434.60","        434.95","        436.79","   16689591","          7289883696.70","     210251","    5349666","         32.05"
"AXISBANK","EQ","21-Aug-2020","        434.95","        440.00","        444.85","        436.25","        442.20","        440.45","        440.01","   25088216","         11039110461.35","     144736","   10068085","         40.13"
"AXISBANK","EQ","24-Aug-2020","        440.45","        444.00","        449.45","        442.30","        446.30","        445.80","        445.60","   18197925","          8109041723.35","     146775","    5787164","         31.80"
"AXISBANK","EQ","25-Aug-2020","        445.80","        450.95","        456.40","        447.10","        451.60","        451.80","        452.52","   26273650","         11889263788.85","     196615","    6549165","         24.93"
"AXISBANK","EQ","26-Aug-2020","        451.80","        452.00","        464.80","        449.00","        463.10","        463.35","        459.77","   25914927","         11914977052.05","     206567","    7585667","         29.27"
"AXISBANK","EQ","27-Aug-2020","        463.35","        464.00","        474.50","        464.00","        473.50","        473.05","        471.25","   19544322","          9210170692.30","     218985","    7204324","         36.86"
"AXISBANK","EQ","28-Aug-2020","        473.05","        476.45","        513.00","        476.05","        509.65","        509.20","        501.90","   59180165","         29702397019.25","     460631","   11308218","         19.11"
"AXISBANK","EQ","31-Aug-2020","        509.20","        524.45","        533.85","        486.30","        492.85","        496.75","        505.25","   55830575","         28208196382.30","     382827","   17092498","         30.61"
"AXISBANK","EQ","01-Sep-2020","        496.75","        495.05","        503.40","        479.65","        487.00","        485.70","        489.17","   33276900","         16277906050.70","     266376","    7100311","         21.34"
"AXISBANK","EQ","02-Sep-2020","        485.70","        487.00","        487.95","        472.10","        484.50","        484.40","        479.75","   20750735","          9955162082.60","     243664","    3972028","         19.14"
"AXISBANK","EQ","03-Sep-2020","        484.40","        488.40","        489.95","        473.10","        476.55","        474.95","        479.00","   14046055","          6728114346.00","     169199","    3840374","         27.34"
"AXISBANK","EQ","04-Sep-2020","        474.95","        469.00","        472.95","        452.60","        457.05","        455.20","        462.23","   29405504","         13592089433.95","     260076","    9596829","         32.64"
"AXISBANK","EQ","07-Sep-2020","        455.20","        457.00","        467.15","        450.65","        459.90","        458.70","        459.34","   25967554","         11927855165.10","     238470","    3831228","         14.75"
"AXISBANK","EQ","08-Sep-2020","        458.70","        459.80","        462.40","        441.25","        442.35","        444.35","        453.64","   21052764","          9550391100.80","     202634","    3859959","         18.33"
"AXISBANK","EQ","09-Sep-2020","        444.35","        439.90","        443.35","        425.00","        432.20","        431.25","        431.55","   31660156","         13662996939.65","     275081","   10455072","         33.02"
"AXISBANK","EQ","10-Sep-2020","        431.25","        436.45","        448.70","        430.75","        447.00","        446.85","        440.60","   34435022","         15171901108.55","     296659","    7853298","         22.81"
"AXISBANK","EQ","11-Sep-2020","        446.85","        446.00","        449.85","        439.25","        448.50","        447.20","        444.77","   18620876","          8281967576.40","     212067","    2583463","         13.87"
"AXISBANK","EQ","14-Sep-2020","        447.20","        452.00","        455.00","        438.00","        439.15","        440.55","        447.55","   17624795","          7887917074.40","     166721","    3151791","         17.88"
"AXISBANK","EQ","15-Sep-2020","        440.55","        441.05","        451.90","        435.90","        450.85","        449.55","        443.35","   17328832","          7682716861.65","     158498","    2286796","         13.20"
"AXISBANK","EQ","16-Sep-2020","        449.55","        449.55","        450.60","        440.00","        444.95","        446.00","        444.56","   20019657","          8900016188.85","     152052","    4176362","         20.86"
"AXISBANK","EQ","17-Sep-2020","        446.00","        440.95","        446.45","        438.50","        442.00","        442.90","        442.81","   14306532","          6335071351.85","     123741","    2705723","         18.91"
"AXISBANK","EQ","18-Sep-2020","        442.90","        444.55","        449.30","        436.05","        445.55","        443.35","        444.16","   20809700","          9242751606.70","     166681","    6098941","         29.31"
"AXISBANK","EQ","21-Sep-2020","        443.35","        443.00","        444.00","        420.55","        422.30","        423.35","        431.74","   19014199","          8209105297.60","     214135","    3350695","         17.62"
"AXISBANK","EQ","22-Sep-2020","        423.35","        424.00","        426.65","        406.30","        412.75","        412.00","        416.85","   27558211","         11487777310.55","     270084","    6222525","         22.58"
"AXISBANK","EQ","23-Sep-2020","        412.00","        418.10","        422.90","        406.10","        422.00","        419.75","        414.41","   18613053","          7713375702.65","     171453","    2803157","         15.06"
"AXISBANK","EQ","24-Sep-2020","        419.75","        414.00","        414.30","        401.15","        403.75","        402.45","        407.29","   21177325","          8625288116.95","     210451","    6001295","         28.34"
"AXISBANK","EQ","25-Sep-2020","        402.45","        407.50","        416.70","        400.15","        413.25","        415.05","        408.38","   20460158","          8355530518.15","     189262","    4352476","         21.27"
"AXISBANK","EQ","28-Sep-2020","        415.05","        420.00","        440.60","        418.05","        438.05","        439.25","        431.97","   19389041","          8375437135.70","     182384","    4330611","         22.34"
"AXISBANK","EQ","29-Sep-2020","        439.25","        442.40","        443.30","        424.80","        427.00","        426.85","        430.53","   19998529","          8609959187.35","     190293","    3527894","         17.64"
"AXISBANK","EQ","30-Sep-2020","        426.85","        427.00","        428.10","        418.75","        423.85","        424.65","        422.61","   18485383","          7812139417.30","     164178","    2887189","         15.62"
"AXISBANK","EQ","01-Oct-2020","        424.65","        430.20","        445.30","        427.40","        442.05","        443.70","        439.60","   21083336","          9268136639.90","     182058","    3954141","         18.75"
"AXISBANK","EQ","05-Oct-2020","        443.70","        444.05","        456.45","        439.05","        444.00","        444.15","        448.07","   24252479","         10866823039.25","     218436","    4776953","         19.70"
"AXISBANK","EQ","06-Oct-2020","        444.15","        449.50","        452.70","        442.70","        449.65","        449.65","        447.43","   19387356","          8674503995.60","     173978","    5637866","         29.08"
"AXISBANK","EQ","07-Oct-2020","        449.65","        447.00","        455.95","        443.50","        452.60","        453.10","        451.74","   19873845","          8977750499.70","     169362","    4513811","         22.71"
"AXISBANK","EQ","08-Oct-2020","        453.10","        455.55","        461.65","        447.25","        452.50","        451.90","        456.72","   20909290","          9549700047.30","     188624","    6513420","         31.15"
"AXISBANK","EQ","09-Oct-2020","        451.90","        453.30","        469.80","        450.15","        468.80","        468.05","        462.32","   28049405","         12967675636.45","     250241","    6511214","         23.21"
"AXISBANK","EQ","12-Oct-2020","        468.05","        473.50","        480.00","        462.30","        466.85","        468.00","        470.26","   21261504","          9998528048.10","     166253","    3145050","         14.79"
"AXISBANK","EQ","13-Oct-2020","        468.00","        465.90","        473.00","        459.75","        460.05","        461.35","        465.91","   15582653","          7260137050.20","     149902","    3050179","         19.57"
"AXISBANK","EQ","14-Oct-2020","        461.35","        458.00","        474.65","        454.00","        472.00","        471.30","        462.92","   13984719","          6473736646.25","     150387","    3033864","         21.69"
"AXISBANK","EQ","15-Oct-2020","        471.30","        473.40","        481.95","        460.00","        460.20","        462.60","        473.66","   28987003","         13730054827.95","     238006","    7994171","         27.58"
"AXISBANK","EQ","16-Oct-2020","        462.60","        465.15","        475.50","        463.00","        471.15","        472.40","        469.99","   16288158","          7655227552.95","     136285","    2653078","         16.29"
